num_cuenta, id_empresa, num_sucursal, cod_estado, id_sucursal, fecha_otorg, fecha_obs
4024210,1,176,25,92,2021-07-30,2021-08-05
4136713,2,8,41,157,2023-10-20,2023-10-28
4136721,2,20,25,167,2018-10-19,2018-11-03
4136776,2,8,25,157,2019-01-24,2019-02-06
4136915,2,16,40,164,2020-04-08,2020-04-18
4136935,2,16,40,164,2023-10-19,2023-10-28
4136967,2,5,25,156,2019-01-20,2019-02-03
4151178,2,34,40,173,2023-12-11,2023-12-18
4151437,2,3,40,155,2020-11-21,2020-12-05
4151478,2,37,40,175,2021-12-12,2021-12-23
4151619,2,30,25,171,2020-01-28,2020-02-01
4151796,2,16,40,164,2020-12-12,2020-12-15
4151924,2,3,25,155,2021-03-08,2021-03-14
4151941,2,15,40,163,2023-12-25,2024-01-08
4152005,2,47,40,178,2022-11-26,2022-12-01
4152055,2,47,41,178,2022-10-04,2022-10-19
4152154,2,47,40,178,2023-05-15,2023-05-30
4152214,2,39,40,176,2020-03-07,2020-03-16
4152218,2,15,40,163,2020-06-12,2020-06-25
4152330,2,13,40,162,2022-04-22,2022-04-30
4152371,2,33,40,172,2019-11-16,2019-11-28
4152446,2,37,40,175,2021-02-23,2021-03-10
4152489,2,35,41,174,2024-02-17,2024-02-28
4152558,2,11,41,160,2019-01-26,2019-02-03
4152586,2,2,40,154,2021-08-05,2021-08-09
4152641,2,47,41,178,2022-06-23,2022-07-05
4152691,2,18,25,165,2020-12-16,2020-12-21
4152694,2,90,40,198,2020-01-22,2020-01-25
4152744,2,47,25,178,2021-12-01,2021-12-14
4152781,2,47,25,178,2021-11-20,2021-11-23
4152800,2,5,25,156,2018-03-18,2018-03-25
4152803,2,5,40,156,2020-02-17,2020-02-21
4152804,2,5,40,156,2018-10-25,2018-10-31
4152849,2,5,25,156,2021-04-14,2021-04-29
4152886,2,18,40,165,2021-12-02,2021-12-16
4152938,2,22,25,168,2024-04-04,2024-04-13
4153000,2,5,40,156,2020-10-10,2020-10-16
4153070,2,47,41,178,2022-03-02,2022-03-11
4153075,2,5,40,156,2021-01-22,2021-02-01
4153125,2,28,41,170,2019-10-14,2019-10-19
4153135,2,15,40,163,2023-04-12,2023-04-18
4153136,2,15,40,163,2020-12-18,2020-12-29
4153150,2,28,25,170,2020-12-22,2020-12-26
4153229,2,5,25,156,2018-12-24,2018-12-28
4153239,2,5,40,156,2019-01-21,2019-01-24
4153295,2,22,41,168,2020-06-05,2020-06-16
4153305,2,5,41,156,2023-01-14,2023-01-20
4153336,2,18,41,165,2018-09-08,2018-09-18
4153402,2,34,25,173,2020-07-02,2020-07-16
4153943,2,12,41,161,2023-08-12,2023-08-22
4153967,2,13,40,162,2018-05-26,2018-05-30
4154011,2,20,40,167,2018-10-12,2018-10-26
4154056,2,20,41,167,2021-05-20,2021-05-28
4154127,2,5,41,156,2019-10-22,2019-11-04
4154314,2,47,41,178,2024-03-01,2024-03-14
4154676,2,48,25,179,2023-04-12,2023-04-17
4154707,2,30,41,171,2022-02-25,2022-03-03
4154721,2,37,40,175,2020-05-14,2020-05-18
4154871,2,48,40,179,2023-02-08,2023-02-18
4154889,2,9,41,158,2018-12-16,2018-12-24
4154969,2,39,41,176,2019-09-03,2019-09-12
4155033,2,16,41,164,2022-01-14,2022-01-23
4155149,2,20,25,167,2019-08-18,2019-08-23
4155271,2,37,25,175,2018-06-29,2018-07-13
4155562,2,34,25,173,2023-03-11,2023-03-17
4155606,2,16,41,164,2021-08-04,2021-08-08
4155672,2,11,41,160,2023-07-18,2023-07-27
4155782,2,39,25,176,2021-03-03,2021-03-16
4155826,2,47,41,178,2019-02-24,2019-03-04
4155856,2,28,41,170,2019-06-07,2019-06-10
4155858,2,47,25,178,2023-01-22,2023-02-04
4155866,2,28,41,170,2022-05-25,2022-05-28
4155874,2,47,41,178,2020-12-05,2020-12-12
4155879,2,28,25,170,2024-02-09,2024-02-14
4155891,2,47,41,178,2022-06-04,2022-06-19
4155905,2,28,25,170,2024-04-02,2024-04-05
4155906,2,28,25,170,2022-07-26,2022-08-01
4155912,2,12,40,161,2022-08-08,2022-08-21
4162382,2,47,40,178,2020-01-25,2020-02-02
4162807,2,18,25,165,2020-01-07,2020-01-22
4162908,2,9,40,158,2020-06-14,2020-06-20
4162914,2,43,41,177,2019-09-17,2019-09-26
4162973,2,47,40,178,2020-07-05,2020-07-17
4163017,2,43,40,177,2020-09-18,2020-09-21
4163023,2,43,40,177,2019-04-28,2019-05-01
4163123,2,47,25,178,2021-08-12,2021-08-26
4163271,2,43,40,177,2020-09-22,2020-10-03
4163298,2,47,40,178,2022-09-10,2022-09-17
4163299,2,47,40,178,2023-09-18,2023-09-28
4163303,2,33,40,172,2022-12-13,2022-12-24
4163311,2,30,25,171,2020-06-25,2020-06-30
4163313,2,33,25,172,2020-10-11,2020-10-23
4163343,2,49,40,180,2023-09-30,2023-10-05
4163354,2,12,40,161,2020-11-10,2020-11-25
4163379,2,49,40,180,2018-11-08,2018-11-17
4163408,2,35,25,174,2022-03-21,2022-03-24
4163421,2,13,40,162,2022-08-08,2022-08-19
4163480,2,13,40,162,2019-04-09,2019-04-17
4163513,2,12,40,161,2022-01-12,2022-01-19
4163571,2,33,40,172,2022-03-06,2022-03-12
4163577,2,13,40,162,2022-06-28,2022-07-07
4163585,2,47,40,178,2022-07-04,2022-07-12
4163592,2,15,25,163,2022-12-11,2022-12-23
4163614,2,48,41,179,2020-08-17,2020-08-28
4163729,2,2,40,154,2018-06-26,2018-07-07
4163744,2,22,40,168,2018-03-16,2018-03-29
4163750,2,47,40,178,2023-04-08,2023-04-14
4163765,2,3,25,155,2020-01-16,2020-01-28
4163792,2,28,40,170,2023-01-31,2023-02-07
4163832,2,33,40,172,2019-10-28,2019-11-12
4163833,2,35,40,174,2024-03-18,2024-03-27
4163882,2,12,40,161,2021-06-30,2021-07-07
4163907,2,12,40,161,2019-06-21,2019-06-28
4164029,2,47,40,178,2021-11-24,2021-12-09
4164038,2,9,40,158,2021-10-12,2021-10-22
4164095,2,11,25,160,2023-10-21,2023-10-25
4164115,2,11,40,160,2022-07-26,2022-08-07
4164124,2,11,40,160,2021-05-20,2021-05-27
4164149,2,9,40,158,2022-09-16,2022-09-28
4164178,2,47,25,178,2023-11-27,2023-12-10
4164302,2,37,25,175,2021-11-09,2021-11-20
4164343,2,47,40,178,2021-02-04,2021-02-10
4164597,2,5,40,156,2023-09-22,2023-09-30
4164637,2,2,40,154,2019-10-30,2019-11-03
4164689,2,48,41,179,2021-03-25,2021-04-02
4164774,2,35,25,174,2018-08-12,2018-08-27
4164843,2,48,41,179,2020-01-09,2020-01-12
4164846,2,48,40,179,2024-04-01,2024-04-13
4164851,2,35,40,174,2023-03-21,2023-03-26
4164873,2,48,25,179,2019-04-16,2019-04-26
4164909,2,35,41,174,2020-01-24,2020-01-28
4164925,2,48,40,179,2019-03-18,2019-04-02
4164990,2,5,40,156,2022-11-15,2022-11-20
4165008,2,11,40,160,2020-09-22,2020-10-03
4165015,2,49,40,180,2021-09-13,2021-09-16
4165020,2,30,25,171,2020-10-24,2020-11-04
4165027,2,47,40,178,2024-04-16,2024-04-22
4165049,2,33,40,172,2022-07-20,2022-07-30
4165140,2,28,41,170,2023-07-23,2023-08-05
4165180,2,48,40,179,2019-01-28,2019-01-31
4165193,2,48,40,179,2019-04-04,2019-04-14
4165255,2,18,41,165,2023-02-15,2023-02-27
4165316,2,39,40,176,2019-03-01,2019-03-16
4165336,2,9,40,158,2022-12-21,2022-12-30
4165337,2,18,41,165,2021-03-30,2021-04-12
4165360,2,15,25,163,2018-11-11,2018-11-23
4165544,2,35,40,174,2020-10-05,2020-10-09
4165825,2,9,41,158,2023-06-07,2023-06-19
4165828,2,48,25,179,2023-08-02,2023-08-10
4165907,2,18,41,165,2020-10-24,2020-11-04
4165910,2,47,41,178,2021-02-28,2021-03-03
4165935,2,48,41,179,2024-03-21,2024-03-31
4165958,2,48,40,179,2018-05-16,2018-05-28
4165964,2,37,40,175,2022-07-17,2022-07-24
4166002,2,13,40,162,2019-09-22,2019-10-04
4166021,2,8,41,157,2022-04-28,2022-05-03
4166053,2,3,41,155,2022-12-02,2022-12-12
4166251,2,43,25,177,2023-04-30,2023-05-07
4166359,2,5,40,156,2023-12-15,2023-12-21
4166438,2,47,25,178,2018-10-02,2018-10-05
4166479,2,47,40,178,2018-07-08,2018-07-19
4166491,2,2,40,154,2021-07-12,2021-07-21
4166644,2,30,40,171,2022-03-08,2022-03-18
4166731,2,30,40,171,2021-01-20,2021-01-31
4166820,2,30,40,171,2023-07-13,2023-07-18
4167046,2,3,40,155,2019-03-17,2019-03-23
4167355,2,49,21,180,2019-07-31,2019-08-09
4167392,2,33,40,172,2020-10-09,2020-10-14
4167621,2,3,40,155,2020-04-01,2020-04-04
4167742,2,18,41,165,2022-07-20,2022-07-23
4167745,2,8,40,157,2021-09-11,2021-09-20
4168091,2,20,40,167,2021-11-27,2021-12-11
4168219,2,22,40,168,2021-12-18,2021-12-23
4168289,2,20,40,167,2023-11-01,2023-11-15
4168404,2,15,40,163,2020-12-16,2020-12-24
4168491,2,20,40,167,2023-12-24,2024-01-06
4168554,2,15,40,163,2021-02-11,2021-02-18
4168564,2,37,40,175,2022-12-07,2022-12-15
4168599,2,3,41,155,2023-04-15,2023-04-25
4168609,2,39,41,176,2022-06-15,2022-06-21
4168611,2,3,25,155,2020-10-21,2020-10-31
4170160,2,47,40,178,2018-11-03,2018-11-16
4170408,2,43,40,177,2022-11-03,2022-11-13
4170479,2,43,25,177,2020-10-29,2020-11-01
4170503,2,90,41,198,2021-05-25,2021-06-03
4170560,2,5,40,156,2021-02-17,2021-03-03
4170724,2,33,40,172,2018-01-12,2018-01-17
4170768,2,18,40,165,2024-02-06,2024-02-18
4170775,2,18,40,165,2024-04-14,2024-04-27
4170889,2,19,40,166,2022-04-22,2022-05-07
4170918,2,49,25,180,2021-04-01,2021-04-15
4170931,2,48,40,179,2019-06-18,2019-06-29
4170951,2,48,25,179,2021-05-10,2021-05-17
4170954,2,18,41,165,2023-05-24,2023-06-07
4170995,2,47,25,178,2021-05-31,2021-06-06
4171020,2,48,40,179,2022-02-10,2022-02-23
4171035,2,2,40,154,2020-03-08,2020-03-21
4171145,2,43,40,177,2023-02-28,2023-03-14
4171152,2,34,25,173,2023-12-14,2023-12-18
4171163,2,28,25,170,2022-04-05,2022-04-11
4171234,2,39,40,176,2020-03-05,2020-03-14
